Date,ADBE
2010-01-04,37.09
2010-01-05,37.7
2010-01-06,37.62
2010-01-07,36.89
2010-01-08,36.69
2010-01-11,36.21
2010-01-12,35.66
2010-01-13,36.28
2010-01-14,35.9
2010-01-15,35.87
2010-01-19,36.95
2010-01-20,36.49
2010-01-21,35.82
2010-01-22,34.38
2010-01-25,34.16
2010-01-26,33.94
2010-01-27,33.14
2010-01-28,32.89
2010-01-29,32.3
2010-02-01,32.48
2010-02-02,32.98
2010-02-03,32.98
2010-02-04,32.24
2010-02-05,32.77
2010-02-08,32.05
2010-02-09,32.31
2010-02-10,32.76
2010-02-11,32.64
2010-02-12,31.45
2010-02-16,31.81
2010-02-17,32.33
2010-02-18,33.24
2010-02-19,33.88
2010-02-22,33.7
2010-02-23,33.44
2010-02-24,34.55
2010-02-25,34.56
2010-02-26,34.65
2010-03-01,34.89
2010-03-02,34.74
2010-03-03,34.82
2010-03-04,34.94
2010-03-05,35.16
2010-03-08,35.06
2010-03-09,35.12
2010-03-10,35.15
2010-03-11,35.22
2010-03-12,35.16
2010-03-15,35.49
2010-03-16,35.02
2010-03-17,35.49
2010-03-18,35.75
2010-03-19,34.67
2010-03-22,34.95
2010-03-23,35.22
2010-03-24,36.51
2010-03-25,35.87
2010-03-26,35.51
2010-03-29,35.74
2010-03-30,35.68
2010-03-31,35.37
2010-04-01,35.74
2010-04-05,35.99
2010-04-06,35.7
2010-04-07,35.06
2010-04-08,34.94
2010-04-09,35.47
2010-04-12,35.02
2010-04-13,34.75
2010-04-14,35.02
2010-04-15,34.39
2010-04-16,34.0
2010-04-19,33.82
2010-04-20,34.93
2010-04-21,34.92
2010-04-22,35.97
2010-04-23,36.25
2010-04-26,36.15
2010-04-27,35.34
2010-04-28,35.47
2010-04-29,34.96
2010-04-30,33.6
2010-05-03,33.59
2010-05-04,33.14
2010-05-05,32.96
2010-05-06,32.49
2010-05-07,32.42
2010-05-10,34.28
2010-05-11,33.8
2010-05-12,34.8
2010-05-13,34.41
2010-05-14,33.72
2010-05-17,33.81
2010-05-18,33.28
2010-05-19,32.88
2010-05-20,31.74
2010-05-21,32.18
2010-05-24,31.63
2010-05-25,31.55
2010-05-26,30.94
2010-05-27,32.2
2010-05-28,32.08
2010-06-01,32.13
2010-06-02,32.94
2010-06-03,32.9
2010-06-04,31.5925
2010-06-07,31.06
2010-06-08,31.0
2010-06-09,30.73
2010-06-10,31.72
2010-06-11,31.73
2010-06-14,31.7
2010-06-15,32.51
2010-06-16,32.44
2010-06-17,33.12
2010-06-18,33.52
2010-06-21,33.13
2010-06-22,32.7625
2010-06-23,30.38
2010-06-24,30.26
2010-06-25,29.85
2010-06-28,28.72
2010-06-29,26.9
2010-06-30,26.43
2010-07-01,26.66
2010-07-02,26.73
2010-07-06,26.34
2010-07-07,26.79
2010-07-08,26.85
2010-07-09,27.2
2010-07-12,27.09
2010-07-13,28.11
2010-07-14,28.03
2010-07-15,28.22
2010-07-16,27.39
2010-07-19,27.67
2010-07-20,27.87
2010-07-21,27.67
2010-07-22,28.58
2010-07-23,29.23
2010-07-26,29.17
2010-07-27,29.22
2010-07-28,28.69
2010-07-29,28.7
2010-07-30,28.72
2010-08-02,29.6
2010-08-03,29.12
2010-08-04,29.7
2010-08-05,29.44
2010-08-06,29.23
2010-08-09,29.52
2010-08-10,29.17
2010-08-11,28.25
2010-08-12,28.08
2010-08-13,28.01
2010-08-16,27.36
2010-08-17,27.955
2010-08-18,28.1
2010-08-19,27.69
2010-08-20,27.92
2010-08-23,27.82
2010-08-24,27.93
2010-08-25,27.48
2010-08-26,27.38
2010-08-27,27.98
2010-08-30,27.79
2010-08-31,27.7
2010-09-01,28.85
2010-09-02,29.42
2010-09-03,29.49
2010-09-07,29.17
2010-09-08,29.31
2010-09-09,32.86
2010-09-10,32.2
2010-09-13,32.24
2010-09-14,32.475
2010-09-15,32.76
2010-09-16,32.85
2010-09-17,32.78
2010-09-20,33.1099
2010-09-21,32.94
2010-09-22,26.67
2010-09-23,26.41
2010-09-24,26.8775
2010-09-27,26.88
2010-09-28,26.28
2010-09-29,26.04
2010-09-30,26.15
2010-10-01,26.27
2010-10-04,25.6
2010-10-05,25.77
2010-10-06,25.73
